timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2020-06-21 10:10:28 +0000;51.821401;5.883256;50.111816;10.000000;10.000000;16.775999;74.531250
2020-06-21 10:10:34 +0000;51.821469;5.883608;50.755737;10.000000;10.000000;15.840000;67.500000
2020-06-21 10:10:40 +0000;51.821549;5.884030;52.145996;10.000000;10.000000;16.956000;59.765625
2020-06-21 10:10:46 +0000;51.821668;5.884405;52.919739;10.000000;10.000000;15.012000;60.468750
2020-06-21 10:10:52 +0000;51.821802;5.884719;55.364746;10.000000;10.000000;13.644000;60.117188
2020-06-21 10:10:58 +0000;51.821946;5.885074;57.158569;10.000000;10.000000;16.668000;56.250000
2020-06-21 10:11:02 +0000;51.822136;5.885382;56.663818;10.000000;10.000000;16.847999;50.625000
2020-06-21 10:11:06 +0000;51.822253;5.885702;57.942932;10.000000;10.000000;19.547999;52.734375
2020-06-21 10:11:11 +0000;51.822344;5.886116;59.191833;10.000000;10.000000;20.124001;59.155514
2020-06-21 10:11:17 +0000;51.822483;5.886493;60.279175;10.000000;10.000000;18.612000;59.155514
2020-06-21 10:11:22 +0000;51.822601;5.886811;61.024475;10.000000;10.000000;17.532000;59.155514
2020-06-21 10:11:27 +0000;51.822733;5.887166;59.785706;10.000000;10.000000;15.912000;59.155514
2020-06-21 10:11:31 +0000;51.822853;5.887492;59.702454;10.000000;10.000000;20.808001;59.116619
2020-06-21 10:11:36 +0000;51.822993;5.887870;60.053772;10.000000;10.000000;20.160000;59.116619
2020-06-21 10:11:42 +0000;51.823144;5.888277;59.665344;10.000000;10.000000;16.344000;59.057274
2020-06-21 10:11:48 +0000;51.823275;5.888628;59.818970;10.000000;10.000000;12.420000;59.057274
2020-06-21 10:11:53 +0000;51.823392;5.888944;60.513672;10.000000;10.000000;14.184000;58.975929
2020-06-21 10:11:57 +0000;51.823525;5.889301;60.365967;10.000000;10.000000;18.396000;53.685341
2020-06-21 10:12:02 +0000;51.823731;5.889633;59.493347;10.000000;10.000000;19.475999;37.200771
