Number	Latitude decimal	Longitude decimal	Length	Time	Duration	Speed	Knots	Bearing	Elevation	Elevation Delta	Elevation Gain	Elevation Loss	Latitude degrees	Longitude degrees	Name
1	51.817487	5.851248	0	2020-06-21T12:01:47Z	0			E	25.556152	0	0	0	51°49.049'N	5°51.075'E	
29	51.816534	5.858904	27.46572906492215	2020-06-21T12:04:22Z	4	6.866432266230538	13.34727654342454	E	23.620605	-0.4875489999999978	13.13501	-15.070557	51°48.992'N	5°51.534'E	
30	51.816540	5.859306	27.60043967518081	2020-06-21T12:04:26Z	4	6.900109918795201	13.41274066288067	E	23.845215	0.2246099999999984	13.35962	-15.070557	51°48.992'N	5°51.558'E	
31	51.816539	5.859777	32.32859617683681	2020-06-21T12:04:31Z	5	6.465719235367362	12.56835272533221	E	22.856323	-0.9888919999999999	13.35962	-16.059449	51°48.992'N	5°51.587'E	
32	51.818840	5.876012	1143.219439181996	2020-06-21T12:07:51Z	200	5.716097195909981	11.11120405252134	NE	30.097473	7.241150000000001	20.60077	-16.059449	51°49.130'N	5°52.561'E	
33	51.818991	5.876383	30.48722165011606	2020-06-21T12:07:56Z	5	6.097444330023212	11.85248357887513	NE	30.897766	0.8002929999999999	21.401063	-16.059449	51°49.139'N	5°52.583'E	
34	51.819132	5.876729	28.44346466995098	2020-06-21T12:08:01Z	5	5.688692933990196	11.05793442891919	NE	31.440369	0.5426029999999997	21.943666	-16.059449	51°49.148'N	5°52.604'E	
35	51.819269	5.877062	27.45428946684308	2020-06-21T12:08:06Z	5	5.490857893368616	10.67337387479528	NE	33.695007	2.254637999999996	24.198304	-16.059449	51°49.156'N	5°52.624'E	
36	51.819427	5.877445	31.60292615653392	2020-06-21T12:08:12Z	6	5.26715435942232	10.23852899239441	NE	33.339661	-0.3553459999999973	24.198304	-16.414795	51°49.166'N	5°52.647'E	
37	51.819574	5.877804	29.55494103520637	2020-06-21T12:08:17Z	5	5.910988207041274	11.49004187113497	NE	34.216614	0.8769530000000003	25.075257	-16.414795	51°49.174'N	5°52.668'E	
38	51.819706	5.878146	27.67242018980341	2020-06-21T12:08:22Z	5	5.534484037960683	10.75817631568697	E	34.084290	-0.132323999999997	25.075257	-16.547119	51°49.182'N	5°52.689'E	
39	51.819840	5.878540	30.86417418200102	2020-06-21T12:08:27Z	5	6.172834836400203	11.9990309994783	E	35.342529	1.258238999999996	26.33349599999999	-16.547119	51°49.190'N	5°52.712'E	
40	51.819961	5.878892	27.64304532391621	2020-06-21T12:08:32Z	5	5.528609064783242	10.74675628143276	NE	35.281982	-0.06054699999999968	26.33349599999999	-16.60766599999999	51°49.198'N	5°52.734'E	
41	51.820095	5.879248	28.60667849832756	2020-06-21T12:08:39Z	7	4.086668356903937	7.943847777996543	E	36.371094	1.089112	27.42260799999999	-16.60766599999999	51°49.206'N	5°52.755'E	
42	51.820208	5.879585	26.31295154741362	2020-06-21T12:08:45Z	6	4.385491924568936	8.524714324213422	NE	36.154968	-0.2161260000000027	27.42260799999999	-16.823792	51°49.212'N	5°52.775'E	
43	51.820335	5.879904	26.04171318138667	2020-06-21T12:08:51Z	6	4.340285530231111	8.43684012355677	E	37.193970	1.039002000000004	28.46161	-16.823792	51°49.220'N	5°52.794'E	
44	51.820380	5.880300	27.63371708028241	2020-06-21T12:08:57Z	6	4.605619513380401	8.952608125358687	E	37.881836	0.6878659999999996	29.149476	-16.823792	51°49.223'N	5°52.818'E	
45	51.820429	5.880674	26.23857825517821	2020-06-21T12:09:33Z	36	0.7288493959771727	1.416769884188448	NE	39.502197	1.620361000000003	30.769837	-16.823792	51°49.226'N	5°52.840'E	
46	51.820564	5.880976	25.5788739267003	2020-06-21T12:09:42Z	9	2.8420971029667	5.524594800581499	NE	42.734131	3.231933999999995	34.00177099999999	-16.823792	51°49.234'N	5°52.859'E	
47	51.820770	5.881231	28.79999273061252	2020-06-21T12:09:49Z	7	4.114284675801788	7.997529607387597	NE	44.692993	1.958862000000003	35.96063299999999	-16.823792	51°49.246'N	5°52.874'E	
